"TRANSM","mwmb","diag"
"HSX","G4",64
"MSM","NL",297
"MSM","G3",122
"MSM","Other",96
"MSM","G2",51
"HSX","NL",50
"HSX","G5",37
"MSM","G1",100
"HSX","Other",20
