"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT3","02AG_000_AmsHSX_AmsHSX-SPLIT3","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT7","A1_000_AmsHSX_AmsHSX-SPLIT7","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","A1_000_AmsHSX_AmsHSX-SPLIT13","A1",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT35","02AG_000_AmsHSX_AmsHSX-SPLIT35","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT98","02AG_000_AmsHSX_AmsHSX-SPLIT98","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT31","A1_000_AmsHSX_AmsHSX-SPLIT31","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT2","02AG_000_AmsHSX_AmsHSX-SPLIT2","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT64","C_000_AmsHSX_AmsHSX-SPLIT64","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT2","C_000_AmsHSX_AmsHSX-SPLIT2","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT100","02AG_000_AmsHSX_AmsHSX-SPLIT100","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT23","01AE_000_AmsHSX_AmsHSX-SPLIT23","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT92","02AG_000_AmsHSX_AmsHSX-SPLIT92","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT91","02AG_000_AmsHSX_AmsHSX-SPLIT91","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT84","B_000_AmsHSX_AmsHSX-SPLIT84","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","B_000_AmsHSX_AmsHSX-SPLIT16","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","B_000_AmsHSX_AmsHSX-SPLIT8","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT38","B_000_AmsHSX_AmsHSX-SPLIT38","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT59","B_000_AmsHSX_AmsHSX-SPLIT59","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT33","B_000_AmsHSX_AmsHSX-SPLIT33","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT22","B_000_AmsHSX_AmsHSX-SPLIT22","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT96","B_000_AmsHSX_AmsHSX-SPLIT96","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT86","B_000_AmsHSX_AmsHSX-SPLIT86","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT71","B_000_AmsHSX_AmsHSX-SPLIT71","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT57","B_000_AmsHSX_AmsHSX-SPLIT57","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT74","B_000_AmsHSX_AmsHSX-SPLIT74","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT94","B_000_AmsHSX_AmsHSX-SPLIT94","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT73","B_000_AmsHSX_AmsHSX-SPLIT73","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT93","B_000_AmsHSX_AmsHSX-SPLIT93","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT70","B_000_AmsHSX_AmsHSX-SPLIT70","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT5","B_000_AmsHSX_AmsHSX-SPLIT5","B",4,"post-startd"
"AmsHSX","AmsHSX-SPLIT116","B_000_AmsHSX_AmsHSX-SPLIT116","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","B_000_AmsHSX_AmsHSX-SPLIT13","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT74","B_000_AmsHSX_AmsHSX-SPLIT74","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT22","B_000_AmsHSX_AmsHSX-SPLIT22","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT36","B_000_AmsHSX_AmsHSX-SPLIT36","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT69","02AG_000_AmsHSX_AmsHSX-SPLIT69","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT92","B_000_AmsHSX_AmsHSX-SPLIT92","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT91","B_000_AmsHSX_AmsHSX-SPLIT91","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT19","B_000_AmsHSX_AmsHSX-SPLIT19","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","B_000_AmsHSX_AmsHSX-SPLIT3","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT90","B_000_AmsHSX_AmsHSX-SPLIT90","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","B_000_AmsHSX_AmsHSX-SPLIT26","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT49","B_000_AmsHSX_AmsHSX-SPLIT49","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT68","B_000_AmsHSX_AmsHSX-SPLIT68","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","C_000_AmsHSX_AmsHSX-SPLIT16","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT17","B_000_AmsHSX_AmsHSX-SPLIT17","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","B_000_AmsHSX_AmsHSX-SPLIT4","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT118","B_000_AmsHSX_AmsHSX-SPLIT118","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT21","B_000_AmsHSX_AmsHSX-SPLIT21","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT27","B_000_AmsHSX_AmsHSX-SPLIT27","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT89","B_000_AmsHSX_AmsHSX-SPLIT89","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT29","B_000_AmsHSX_AmsHSX-SPLIT29","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT85","B_000_AmsHSX_AmsHSX-SPLIT85","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT51","B_000_AmsHSX_AmsHSX-SPLIT51","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT120","B_000_AmsHSX_AmsHSX-SPLIT120","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT15","B_000_AmsHSX_AmsHSX-SPLIT15","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT24","B_000_AmsHSX_AmsHSX-SPLIT24","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT91","B_000_AmsHSX_AmsHSX-SPLIT91","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT81","B_000_AmsHSX_AmsHSX-SPLIT81","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT45","B_000_AmsHSX_AmsHSX-SPLIT45","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT95","B_000_AmsHSX_AmsHSX-SPLIT95","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT31","B_000_AmsHSX_AmsHSX-SPLIT31","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT30","B_000_AmsHSX_AmsHSX-SPLIT30","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT33","B_000_AmsHSX_AmsHSX-SPLIT33","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT28","C_000_AmsHSX_AmsHSX-SPLIT28","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT20","B_000_AmsHSX_AmsHSX-SPLIT20","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT103","02AG_000_AmsHSX_AmsHSX-SPLIT103","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","B_000_AmsHSX_AmsHSX-SPLIT16","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT64","B_000_AmsHSX_AmsHSX-SPLIT64","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","B_000_AmsHSX_AmsHSX-SPLIT9","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT1","B_000_AmsHSX_AmsHSX-SPLIT1","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","01AE_000_AmsHSX_AmsHSX-SPLIT3","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","B_000_AmsHSX_AmsHSX-SPLIT3","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT47","B_000_AmsHSX_AmsHSX-SPLIT47","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT52","B_000_AmsHSX_AmsHSX-SPLIT52","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT29","B_000_AmsHSX_AmsHSX-SPLIT29","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","06cpx_000_AmsHSX_AmsHSX-SPLIT12","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","B_000_AmsHSX_AmsHSX-SPLIT3","B",1,"pre-startd"
"AmsHSX","AmsHSX-SPLIT25","B_000_AmsHSX_AmsHSX-SPLIT25","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT35","B_000_AmsHSX_AmsHSX-SPLIT35","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT47","B_000_AmsHSX_AmsHSX-SPLIT47","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT34","B_000_AmsHSX_AmsHSX-SPLIT34","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT112","B_000_AmsHSX_AmsHSX-SPLIT112","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT31","B_000_AmsHSX_AmsHSX-SPLIT31","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","B_000_AmsHSX_AmsHSX-SPLIT10","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT73","02AG_000_AmsHSX_AmsHSX-SPLIT73","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT23","B_000_AmsHSX_AmsHSX-SPLIT23","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT23","G_000_AmsHSX_AmsHSX-SPLIT23","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","B_000_AmsHSX_AmsHSX-SPLIT10","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT28","B_000_AmsHSX_AmsHSX-SPLIT28","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT67","B_000_AmsHSX_AmsHSX-SPLIT67","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","B_000_AmsHSX_AmsHSX-SPLIT16","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT43","B_000_AmsHSX_AmsHSX-SPLIT43","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT54","B_000_AmsHSX_AmsHSX-SPLIT54","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT24","B_000_AmsHSX_AmsHSX-SPLIT24","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT39","B_000_AmsHSX_AmsHSX-SPLIT39","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT22","B_000_AmsHSX_AmsHSX-SPLIT22","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT81","B_000_AmsHSX_AmsHSX-SPLIT81","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT50","B_000_AmsHSX_AmsHSX-SPLIT50","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT86","B_000_AmsHSX_AmsHSX-SPLIT86","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT66","B_000_AmsHSX_AmsHSX-SPLIT66","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT20","B_000_AmsHSX_AmsHSX-SPLIT20","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","D_000_AmsHSX_AmsHSX-SPLIT12","D",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT76","B_000_AmsHSX_AmsHSX-SPLIT76","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","B_000_AmsHSX_AmsHSX-SPLIT13","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT30","B_000_AmsHSX_AmsHSX-SPLIT30","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT78","B_000_AmsHSX_AmsHSX-SPLIT78","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT95","B_000_AmsHSX_AmsHSX-SPLIT95","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT96","B_000_AmsHSX_AmsHSX-SPLIT96","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT39","B_000_AmsHSX_AmsHSX-SPLIT39","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT52","B_000_AmsHSX_AmsHSX-SPLIT52","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT22","G_000_AmsHSX_AmsHSX-SPLIT22","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT50","B_000_AmsHSX_AmsHSX-SPLIT50","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT99","B_000_AmsHSX_AmsHSX-SPLIT99","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT53","B_000_AmsHSX_AmsHSX-SPLIT53","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT40","B_000_AmsHSX_AmsHSX-SPLIT40","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT83","B_000_AmsHSX_AmsHSX-SPLIT83","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT43","B_000_AmsHSX_AmsHSX-SPLIT43","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT62","B_000_AmsHSX_AmsHSX-SPLIT62","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT83","B_000_AmsHSX_AmsHSX-SPLIT83","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT37","B_000_AmsHSX_AmsHSX-SPLIT37","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT4","B_000_AmsHSX_AmsHSX-SPLIT4","B",1,"pre-startd"
"AmsHSX","AmsHSX-SPLIT32","B_000_AmsHSX_AmsHSX-SPLIT32","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT59","B_000_AmsHSX_AmsHSX-SPLIT59","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT3","G_000_AmsHSX_AmsHSX-SPLIT3","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT51","B_000_AmsHSX_AmsHSX-SPLIT51","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","B_000_AmsHSX_AmsHSX-SPLIT12","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT27","B_000_AmsHSX_AmsHSX-SPLIT27","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT60","B_000_AmsHSX_AmsHSX-SPLIT60","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT87","B_000_AmsHSX_AmsHSX-SPLIT87","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT65","B_000_AmsHSX_AmsHSX-SPLIT65","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT44","B_000_AmsHSX_AmsHSX-SPLIT44","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","B_000_AmsHSX_AmsHSX-SPLIT26","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT44","B_000_AmsHSX_AmsHSX-SPLIT44","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT36","B_000_AmsHSX_AmsHSX-SPLIT36","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT63","B_000_AmsHSX_AmsHSX-SPLIT63","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT48","B_000_AmsHSX_AmsHSX-SPLIT48","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT72","B_000_AmsHSX_AmsHSX-SPLIT72","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT15","G_000_AmsHSX_AmsHSX-SPLIT15","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT65","B_000_AmsHSX_AmsHSX-SPLIT65","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT50","B_000_AmsHSX_AmsHSX-SPLIT50","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT98","B_000_AmsHSX_AmsHSX-SPLIT98","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT90","B_000_AmsHSX_AmsHSX-SPLIT90","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT48","B_000_AmsHSX_AmsHSX-SPLIT48","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT14","B_000_AmsHSX_AmsHSX-SPLIT14","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT5","06cpx_000_AmsHSX_AmsHSX-SPLIT5","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT121","B_000_AmsHSX_AmsHSX-SPLIT121","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT37","B_000_AmsHSX_AmsHSX-SPLIT37","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","B_000_AmsHSX_AmsHSX-SPLIT8","B",4,"post-startd"
"AmsHSX","AmsHSX-SPLIT78","B_000_AmsHSX_AmsHSX-SPLIT78","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT19","B_000_AmsHSX_AmsHSX-SPLIT19","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT80","B_000_AmsHSX_AmsHSX-SPLIT80","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","02AG_000_AmsHSX_AmsHSX-SPLIT26","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT114","B_000_AmsHSX_AmsHSX-SPLIT114","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT8","B_000_AmsHSX_AmsHSX-SPLIT8","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT18","B_000_AmsHSX_AmsHSX-SPLIT18","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","B_000_AmsHSX_AmsHSX-SPLIT9","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT21","A1_000_AmsHSX_AmsHSX-SPLIT21","A1",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT64","B_000_AmsHSX_AmsHSX-SPLIT64","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT43","B_000_AmsHSX_AmsHSX-SPLIT43","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","01AE_000_AmsHSX_AmsHSX-SPLIT8","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT11","C_000_AmsHSX_AmsHSX-SPLIT11","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT37","B_000_AmsHSX_AmsHSX-SPLIT37","B",4,"post-startd"
"AmsHSX","AmsHSX-SPLIT79","B_000_AmsHSX_AmsHSX-SPLIT79","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT123","B_000_AmsHSX_AmsHSX-SPLIT123","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT33","A1_000_AmsHSX_AmsHSX-SPLIT33","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT56","B_000_AmsHSX_AmsHSX-SPLIT56","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT55","B_000_AmsHSX_AmsHSX-SPLIT55","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT2","B_000_AmsHSX_AmsHSX-SPLIT2","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT14","B_000_AmsHSX_AmsHSX-SPLIT14","B",4,"post-startd"
"AmsHSX","AmsHSX-SPLIT41","C_000_AmsHSX_AmsHSX-SPLIT41","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT19","01AE_000_AmsHSX_AmsHSX-SPLIT19","01AE",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT24","C_000_AmsHSX_AmsHSX-SPLIT24","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","B_000_AmsHSX_AmsHSX-SPLIT6","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT36","A1_000_AmsHSX_AmsHSX-SPLIT36","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT40","B_000_AmsHSX_AmsHSX-SPLIT40","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT32","A1_000_AmsHSX_AmsHSX-SPLIT32","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT100","B_000_AmsHSX_AmsHSX-SPLIT100","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT87","C_000_AmsHSX_AmsHSX-SPLIT87","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT43","C_000_AmsHSX_AmsHSX-SPLIT43","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT54","B_000_AmsHSX_AmsHSX-SPLIT54","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT18","B_000_AmsHSX_AmsHSX-SPLIT18","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT38","B_000_AmsHSX_AmsHSX-SPLIT38","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT1","C_000_AmsHSX_AmsHSX-SPLIT1","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","B_000_AmsHSX_AmsHSX-SPLIT4","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT25","C_000_AmsHSX_AmsHSX-SPLIT25","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT33","B_000_AmsHSX_AmsHSX-SPLIT33","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","01AE_000_AmsHSX_AmsHSX-SPLIT13","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT29","02AG_000_AmsHSX_AmsHSX-SPLIT29","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT17","01AE_000_AmsHSX_AmsHSX-SPLIT17","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT68","B_000_AmsHSX_AmsHSX-SPLIT68","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT47","B_000_AmsHSX_AmsHSX-SPLIT47","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT93","B_000_AmsHSX_AmsHSX-SPLIT93","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT4","B_000_AmsHSX_AmsHSX-SPLIT4","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT124","B_000_AmsHSX_AmsHSX-SPLIT124","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT108","B_000_AmsHSX_AmsHSX-SPLIT108","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT45","B_000_AmsHSX_AmsHSX-SPLIT45","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT5","B_000_AmsHSX_AmsHSX-SPLIT5","B",1,"post-startd"
"AmsHSX","AmsHSX-SPLIT61","B_000_AmsHSX_AmsHSX-SPLIT61","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT46","B_000_AmsHSX_AmsHSX-SPLIT46","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT42","B_000_AmsHSX_AmsHSX-SPLIT42","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","01AE_000_AmsHSX_AmsHSX-SPLIT4","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT36","C_000_AmsHSX_AmsHSX-SPLIT36","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT106","B_000_AmsHSX_AmsHSX-SPLIT106","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT22","A1_000_AmsHSX_AmsHSX-SPLIT22","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","B_000_AmsHSX_AmsHSX-SPLIT12","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT27","G_000_AmsHSX_AmsHSX-SPLIT27","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","B_000_AmsHSX_AmsHSX-SPLIT26","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT25","B_000_AmsHSX_AmsHSX-SPLIT25","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT48","B_000_AmsHSX_AmsHSX-SPLIT48","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT27","B_000_AmsHSX_AmsHSX-SPLIT27","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT107","B_000_AmsHSX_AmsHSX-SPLIT107","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","D_000_AmsHSX_AmsHSX-SPLIT9","D",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT85","B_000_AmsHSX_AmsHSX-SPLIT85","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT88","B_000_AmsHSX_AmsHSX-SPLIT88","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT6","01AE_000_AmsHSX_AmsHSX-SPLIT6","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT18","01AE_000_AmsHSX_AmsHSX-SPLIT18","01AE",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT19","C_000_AmsHSX_AmsHSX-SPLIT19","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT104","B_000_AmsHSX_AmsHSX-SPLIT104","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT34","B_000_AmsHSX_AmsHSX-SPLIT34","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT76","B_000_AmsHSX_AmsHSX-SPLIT76","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT2","B_000_AmsHSX_AmsHSX-SPLIT2","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT70","B_000_AmsHSX_AmsHSX-SPLIT70","B",3,"post-startd"
"AmsHSX","AmsHSX-SPLIT14","B_000_AmsHSX_AmsHSX-SPLIT14","B",3,"pre-startd"
"AmsHSX","AmsHSX-SPLIT1","01AE_000_AmsHSX_AmsHSX-SPLIT1","01AE",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT1","B_000_AmsHSX_AmsHSX-SPLIT1","B",2,"post-startd"
"AmsHSX","AmsHSX-SPLIT7","B_000_AmsHSX_AmsHSX-SPLIT7","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT117","B_000_AmsHSX_AmsHSX-SPLIT117","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT38","B_000_AmsHSX_AmsHSX-SPLIT38","B",4,"post-startd"
"AmsHSX","AmsHSX-SPLIT21","01AE_000_AmsHSX_AmsHSX-SPLIT21","01AE",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT115","B_000_AmsHSX_AmsHSX-SPLIT115","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT80","C_000_AmsHSX_AmsHSX-SPLIT80","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT88","B_000_AmsHSX_AmsHSX-SPLIT88","B",2,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","D_000_AmsHSX_AmsHSX-SPLIT4","D",NA,"pre-startd"
