"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT51","02AG_000_AmsHSX_AmsHSX-SPLIT51","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT82","02AG_000_AmsHSX_AmsHSX-SPLIT82","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT60","C_000_AmsHSX_AmsHSX-SPLIT60","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT49","C_000_AmsHSX_AmsHSX-SPLIT49","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT15","06cpx_000_AmsHSX_AmsHSX-SPLIT15","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT53","02AG_000_AmsHSX_AmsHSX-SPLIT53","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT5","02AG_000_AmsHSX_AmsHSX-SPLIT5","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT55","02AG_000_AmsHSX_AmsHSX-SPLIT55","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT62","C_000_AmsHSX_AmsHSX-SPLIT62","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT93","02AG_000_AmsHSX_AmsHSX-SPLIT93","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT20","C_000_AmsHSX_AmsHSX-SPLIT20","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT70","02AG_000_AmsHSX_AmsHSX-SPLIT70","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT66","C_000_AmsHSX_AmsHSX-SPLIT66","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT78","C_000_AmsHSX_AmsHSX-SPLIT78","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT19","02AG_000_AmsHSX_AmsHSX-SPLIT19","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT28","A1_000_AmsHSX_AmsHSX-SPLIT28","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT52","C_000_AmsHSX_AmsHSX-SPLIT52","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT18","C_000_AmsHSX_AmsHSX-SPLIT18","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","C_000_AmsHSX_AmsHSX-SPLIT13","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT17","C_000_AmsHSX_AmsHSX-SPLIT17","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT55","C_000_AmsHSX_AmsHSX-SPLIT55","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT60","02AG_000_AmsHSX_AmsHSX-SPLIT60","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT23","A1_000_AmsHSX_AmsHSX-SPLIT23","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT85","02AG_000_AmsHSX_AmsHSX-SPLIT85","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","06cpx_000_AmsHSX_AmsHSX-SPLIT4","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT31","02AG_000_AmsHSX_AmsHSX-SPLIT31","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT5","A1_000_AmsHSX_AmsHSX-SPLIT5","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT50","C_000_AmsHSX_AmsHSX-SPLIT50","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT50","02AG_000_AmsHSX_AmsHSX-SPLIT50","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT104","02AG_000_AmsHSX_AmsHSX-SPLIT104","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT1","G_000_AmsHSX_AmsHSX-SPLIT1","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","D_000_AmsHSX_AmsHSX-SPLIT10","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT1","D_000_AmsHSX_AmsHSX-SPLIT1","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","C_000_AmsHSX_AmsHSX-SPLIT10","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","06cpx_000_AmsHSX_AmsHSX-SPLIT10","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT5","D_000_AmsHSX_AmsHSX-SPLIT5","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT65","02AG_000_AmsHSX_AmsHSX-SPLIT65","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","02AG_000_AmsHSX_AmsHSX-SPLIT4","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT14","D_000_AmsHSX_AmsHSX-SPLIT14","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT22","02AG_000_AmsHSX_AmsHSX-SPLIT22","02AG",NA,"pre-startd"
