run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS
0,1990,43.234986,152.836488,25.271304,28,13.127392,12.557406,2.690873,2,7.677629,6.13711,1.315095,0,8.20727,4.754133,1.018743,4,6.87947,1.51563,0.324778,0,7.343225,0.307024,0,15.175169,101,269,829,9.282869,25.462514,0,0,0.323776,1.104094,0,0,459.523075,0,95.792105,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,3.109154,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-370.581019,-676.163512,305.582493,305.582491,0,66.499924,-82.460374,23.773155,132.118443,66.371529,62.600441,20.035366,0.683559,155.891598,83.319367,91.761624,30.02843,23.433825,37.74084,15.988195,11.835852,2.680731,0.082181,182.511258,59.725692,0.339254,83.486012,43.367356,41.365112,13.487737,0.465787,31.309608,10.245878,0,10.891638,7.015996,9.399489,3.8669,0.135587,0,0,0,0,0,0,0
0,1991,52.238021,205.074509,33.231147,29,15.504028,15.150624,4.489074,3,9.1624,7.981774,2.36497,3,9.969385,6.809784,2.017714,2,8.503027,2.6432,0.78317,0,9.099182,0.645764,2,19.81786,115,294,1123,12.719807,38.182322,0,0,0.401199,1.505293,0,0,564.644745,0,105.121669,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,3.308762,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-559.860548,-917.925491,358.064943,358.064852,0,63.414199,-63.956095,25.926241,153.879501,78.089759,74.9436,24.391593,0.834249,179.805742,100.169442,100.674885,28.116376,25.547075,41.490407,17.580222,13.016981,2.949707,0.090494,212.503814,59.347841,0.379322,96.885898,50.484565,48.370329,15.836626,0.547074,44.886153,12.535758,0,15.503099,10.024935,13.556266,5.605257,0.196595,0,0,0,0,0,0,0
0,1992,61.351397,266.425906,42.483458,32,17.814552,17.63992,2.845148,1,10.63192,9.879861,1.593526,2,11.7667,9.258483,1.493304,1,10.199279,4.387445,0.707652,1,10.938947,1.31775,1,25.054972,134,412,1535,16.787648,54.969969,0,0,0.482317,1.98761,0,0,677.285716,0,112.640971,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,3.506938,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-859.701894,-1268.574094,408.8722,408.87219,0,60.369234,-47.559765,27.614454,174.614196,89.470331,87.316738,28.867152,0.989328,202.22865,117.173219,107.851719,26.377856,27.200689,44.534116,18.873574,13.977254,3.168803,0.097283,240.399372,58.795724,0.413681,109.287381,57.102196,54.925722,18.046801,0.623592,60.6211,14.826418,0,20.792751,13.494581,18.413775,7.651551,0.26844,0,0,0,0,0,0,0
0,1993,70.246918,336.672824,53.017505,41,19.967556,19.906313,3.06251,3,12.030068,11.666962,1.794917,0,13.535677,11.922182,1.834182,1,11.912073,6.904435,1.062221,2,12.801545,2.617613,2,30.790358,164,427,1962,21.451095,76.421064,0,0,0.564443,2.552053,0,0,795.198031,0,117.912315,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,3.705404,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-1169.354022,-1625.327176,455.973154,455.973098,0,57.34083,-38.993593,28.733698,193.464766,100.060125,99.263628,33.307205,1.143733,222.198464,133.714566,112.873483,24.754414,28.293244,46.696894,19.794005,14.661651,3.325524,0.102166,265.043067,58.126902,0.440614,120.171827,62.946165,60.763292,20.028918,0.69225,78.056548,17.118672,0,26.595946,17.319917,23.83866,9.952759,0.349266,0,0,0,0,0,0,0
0,1994,78.57963,415.252454,64.818279,41,21.870935,21.859234,4.026701,2,13.29929,13.191712,2.430052,1,15.208768,14.490426,2.669289,3,13.579823,10.202324,1.879375,1,14.620815,5.074582,3,36.896104,180,444,2406,26.642618,103.063682,0,0,0.644657,3.19671,0,0,915.898046,0,120.700015,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,3.906228,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-1493.298664,-1990.747546,497.448882,497.448876,0,54.312692,-33.312082,29.256602,209.617765,109.416981,110.318519,37.547441,1.291574,238.874367,149.157534,115.518578,23.222201,28.798105,47.872152,20.295743,15.035849,3.411846,0.104883,285.28524,57.349659,0.458476,129.023285,67.743613,65.61601,21.693889,0.749966,96.645058,19.428139,0,32.722341,21.37763,29.666663,12.441706,0.436718,0,0,0,0,0,0,0
0,1995,86.029904,501.282358,77.905679,60,23.448415,23.447893,10.258453,4,14.389164,14.379237,6.290916,4,16.722305,16.589139,7.257748,9,15.140923,13.869378,6.067853,4,16.329098,9.620032,12,43.21753,219,439,2845,32.263554,135.327236,0,0,0.719978,3.916689,0,0,1037.085668,0,121.187622,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,4.110836,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-1811.83102,-2343.717642,531.886622,531.886509,0,51.286662,-29.356304,29.240685,222.503723,117.200374,120.080151,41.434003,1.427686,251.744408,162.94184,115.965145,21.802606,28.774074,48.126485,20.406622,15.120179,3.43222,0.105565,300.152645,56.431697,0.466817,135.415218,71.263443,69.251112,22.962074,0.79398,115.768719,21.765676,0,38.961892,25.530261,35.708827,15.039704,0.528036,0,0,0,0,0,0,0
0,1996,92.350777,593.633135,92.350777,68,24.653361,24.653361,14.152855,7,15.264594,15.264594,8.763008,8,18.025053,18.025053,10.347716,6,16.540878,16.540878,9.495689,10,17.86689,17.86689,14,49.58733,160,327,3172,38.188906,173.516142,0,0,0.787782,4.704471,0,0,1156.737388,0,119.65172,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,4.319416,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-2019.967083,-2578.366865,558.399781,558.399767,0,48.273687,-27.644004,28.753423,231.821996,123.195402,128.244215,44.837573,1.547172,260.575419,174.628961,114.477883,20.501062,28.286858,47.569747,20.173212,14.94914,3.394473,0.104453,309.167525,55.366699,0.466567,139.162806,73.392765,71.538502,23.784309,0.822576,134.754359,24.132237,0,45.089442,29.629424,41.756573,17.65879,0.62013,0,0,0,0,0,0,0
0,1997,97.371301,691.004437,97.371301,74,25.46515,25.46515,15.460984,4,15.90547,15.90547,9.656893,9,19.080032,19.080032,11.584305,11,17.735797,17.735797,10.768163,10,19.184851,19.184851,18,55.834394,36,184,3356,44.275199,217.791341,0,0,0.845894,5.550365,0,0,1273.106651,0,116.369263,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,4.531715,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-2088.443714,-2664.995563,576.551849,576.551774,0,45.287003,-27.60677,27.861072,237.483776,127.296828,134.604489,47.658846,1.646838,265.344848,183.910173,111.321824,19.308207,27.40239,46.311831,19.642113,14.557259,3.306444,0.101787,312.344345,54.174546,0.458789,140.303633,74.13638,72.461401,24.148811,0.835331,152.885605,26.517234,0,50.868245,33.518311,47.585811,20.203588,0.70965,0,0,0,0,0,0,0
0,1998,100.993164,791.997601,100.993164,72,25.88329,25.88329,13.866048,4,16.304381,16.304381,8.73449,8,19.8641,19.8641,10.641482,9,18.693673,18.693673,10.014468,9,20.247719,20.247719,16,61.795153,28,136,3492,50.368958,268.160299,0,0,0.892757,6.443122,0,0,1384.723857,0,111.617207,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,4.747384,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-2113.719265,-2700.002399,586.283135,586.283126,0,42.339354,-27.737039,26.631045,239.561424,129.489975,139.046671,49.830042,1.723978,266.192469,190.600691,106.762,18.209973,26.186471,44.462714,18.859951,13.979084,3.175972,0.097808,310.106189,52.893589,0.444552,139.045115,73.595821,72.106626,24.080962,0.833113,169.414937,28.896437,0,56.053609,37.034208,52.960965,22.573108,0.793048,0,0,0,0,0,0,0
0,1999,103.18037,895.177971,103.18037,69,25.922668,25.922668,13.424239,10,16.464331,16.464331,8.526171,6,20.366846,20.366846,10.547117,4,19.394491,19.394491,10.043576,9,21.032034,21.032034,13,67.31843,30,137,3629,56.315197,324.475496,0,0,0.927339,7.370461,0,0,1490.396365,0,105.672508,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,4.966295,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-2145.974096,-2733.822029,587.847933,587.847668,0,39.442389,-27.393058,25.12991,238.251974,129.834334,141.539886,51.314169,1.777659,263.381885,194.631714,101.063442,17.192106,24.705033,42.132288,17.873326,13.249141,3.010896,0.092759,303.130598,51.566159,0.424924,135.694445,71.932115,70.629492,23.631931,0.817691,183.653628,31.24169,0,60.425213,40.028882,57.661246,24.671341,0.866946,0,0,0,0,0,0,0
