run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS
0,1990,53.327425,190.421816,35.123683,83,19.76449,18.906324,5.15627,16,10.025216,8.013653,2.185542,3,11.104339,6.432286,1.75426,2,7.011565,1.544732,0.42129,0,5.421816,0.226689,6,14.718234,318,269,829,8.895588,24.084144,0,0,0.239057,0.835715,0,0,453.266922,0,99.815483,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.730763,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-376.568793,-638.578184,262.009391,262.009385,0,57.804657,-69.578094,24.951709,114.206437,57.182053,50.398018,14.767259,0.503915,139.158146,65.669191,93.358004,35.631549,24.605152,38.026493,16.179803,11.834491,2.63114,0.080926,150.76024,57.540014,0.346536,69.879382,36.766216,33.274438,10.141112,0.352555,17.891141,6.828435,0,6.300575,4.236039,5.289093,1.995007,0.070427,0,0,0,0,0,0,0
0,1991,64.570747,254.992564,45.997842,84,23.6061,23.068016,6.550177,11,12.075974,10.519918,2.987137,4,13.534942,9.245307,2.625211,7,8.649804,2.688827,0.763494,1,6.703927,0.475774,3,19.470105,335,294,1123,12.323966,36.408109,0,0,0.295588,1.131303,0,0,566.163398,0,112.896476,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.864608,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-557.967906,-868.007436,310.039531,310.039517,0,54.761493,-55.565836,28.079406,134.731513,68.010298,60.632234,17.971507,0.614572,162.810919,79.218314,105.560918,34.047567,27.681225,43.069083,18.328676,13.40806,2.982096,0.091778,178.978867,57.727757,0.398128,82.730562,43.65536,39.650154,12.123091,0.421572,25.499732,8.224671,0,8.931902,6.026274,7.574028,2.866322,0.101206,0,0,0,0,0,0,0
0,1992,76.246829,331.239393,58.52999,91,27.521609,27.251821,7.288278,12,14.18888,13.185216,3.526279,6,16.079612,12.652044,3.383686,3,10.388937,4.469031,1.195206,2,8.067793,0.971879,5,24.968754,376,412,1535,16.46387,52.871979,0,0,0.355723,1.487026,0,0,691.474032,0,125.310634,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.992662,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-845.012995,-1203.760607,358.747612,358.74761,0,51.881574,-42.454686,31.026641,155.405766,79.03477,71.218449,21.331182,0.730803,186.432408,93.280435,117.137019,32.651651,30.578547,47.863323,20.372207,14.904758,3.31607,0.102114,207.201874,57.757004,0.448032,95.552498,50.546446,46.047037,14.116847,0.491013,34.408717,9.591344,0,11.989984,8.116131,10.266664,3.898266,0.137671,0,0,0,0,0,0,0
0,1993,88.088459,419.327852,72.604041,109,31.419101,31.322735,7.990494,10,16.314802,15.822369,4.036319,4,18.680812,16.454001,4.197449,5,12.190554,7.065848,1.802512,6,9.48319,1.939088,11,31.175521,317,427,1962,21.322068,74.194047,0,0,0.41813,1.905157,0,0,828.224986,0,136.750954,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.115503,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1135.680171,-1542.672148,406.991977,406.991836,0,49.140268,-35.836848,33.720152,175.739789,89.996829,81.914168,24.770872,0.850167,209.459941,107.535207,127.799898,31.401085,33.225172,52.290714,22.259904,16.287611,3.624819,0.111678,234.77126,57.684493,0.495058,108.046007,57.278838,52.316107,16.075986,0.559264,44.420677,10.914386,0,15.403018,10.458068,13.310438,5.070065,0.179089,0,0,0,0,0,0,0
0,1994,99.821884,519.149736,88.034701,120,35.206744,35.18791,13.285231,6,18.403937,18.255069,6.89222,13,21.278727,20.273689,7.654352,7,14.013857,10.528407,3.975011,11,10.918618,3.789626,22,38.027089,314,444,2406,26.880985,101.075032,0,0,0.481421,2.386578,0,0,975.228169,0,147.003184,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.233787,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1433.158409,-1886.850264,453.691855,453.691836,0,46.521611,-31.656784,36.121763,195.267382,100.644524,92.475849,28.212766,0.969573,231.389145,121.658187,137.352329,30.274365,35.583707,56.263377,23.954051,17.528861,3.902063,0.120271,261.031248,57.53492,0.538038,119.913055,63.692432,58.308793,17.954219,0.624711,55.308259,12.19071,0,19.090961,12.998045,16.638198,6.356484,0.22457,0,0,0,0,0,0,0
0,1995,111.194894,630.34463,104.591007,121,38.805515,38.804652,16.401966,9,20.411622,20.39754,8.621641,6,23.817133,23.627469,9.986868,14,15.818886,14.490405,6.12481,12,12.341737,7.270941,24,45.437025,314,439,2845,33.099003,134.174035,0,0,0.544169,2.930747,0,0,1131.273727,0,156.045558,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.347781,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1716.65702,-2214.65537,497.99835,497.998343,0,44.02103,-29.009776,38.232181,213.631588,110.772136,102.690654,31.584938,1.086854,251.863769,135.362445,145.775744,29.272335,37.655749,59.770489,25.449841,18.624877,4.146926,0.127863,285.400072,57.309441,0.576356,130.893196,69.644895,63.890722,19.709029,0.685873,66.822526,13.418222,0,22.967951,15.677418,20.175067,7.728984,0.273106,0,0,0,0,0,0,0
0,1996,122.00666,752.35129,122.00666,168,42.1589,42.1589,23.695148,22,22.303472,22.303472,12.535528,21,26.249177,26.249177,14.753187,20,17.570321,17.570321,9.87529,14,13.724791,13.724791,31,53.304351,299,327,3172,39.912637,174.086672,0,0,0.60515,3.535897,0,0,1295.172752,0,163.899026,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.457202,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1880.363144,-2419.64871,539.285566,539.285522,0,41.638119,-28.679863,40.056627,230.588263,120.227641,112.387183,34.826066,1.199785,270.64489,148.413034,153.089699,28.387502,39.446599,62.819917,26.750631,19.57812,4.35996,0.134473,307.496784,57.019287,0.610029,140.824339,75.042733,68.968505,21.309511,0.741668,78.699039,14.593203,0,26.944007,18.434278,23.840559,9.156595,0.323601,0,0,0,0,0,0,0
0,1997,132.104137,884.455427,132.104137,181,45.228809,45.228809,28.190559,25,24.054523,24.054523,14.992887,20,28.537795,28.537795,17.787256,22,19.238732,19.238732,11.991264,24,15.044279,15.044279,35,61.517726,72,184,3356,47.240428,221.3271,0,0,0.663329,4.199225,0,0,1465.757461,0,170.584709,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.56169,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1894.441764,-2471.544573,577.102809,577.102804,0,39.372326,-30.462948,41.600256,245.975164,128.902554,121.432178,37.886167,1.306491,287.575419,160.624836,159.313917,27.605812,40.96109,65.419901,27.859925,20.391152,4.541733,0.140116,327.126643,56.684292,0.639141,149.629044,79.838232,73.490893,22.737862,0.79147,90.662244,15.709895,0,30.926234,21.204403,27.550136,10.606573,0.374899,0,0,0,0,0,0,0
0,1998,141.373566,1025.828993,141.373566,129,47.990268,47.990268,30.28512,17,25.64722,25.64722,16.185139,20,30.654594,30.654594,19.345132,13,20.800556,20.800556,13.126565,15,16.280928,16.280928,26,69.960186,45,136,3492,54.987324,276.314425,0,0,0.717855,4.91708,0,0,1641.881189,0,176.123728,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.66103,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1855.035891,-2466.171007,611.135116,611.134944,0,37.221641,-32.944652,42.867941,259.688098,136.722001,129.725267,40.725961,1.405847,302.556039,171.857076,164.468114,26.911907,42.204249,67.578557,28.781181,21.066506,4.69281,0.144811,344.237409,56.327545,0.663771,157.289517,84.01868,77.442187,23.988183,0.835071,102.429422,16.76052,0,34.819975,23.922122,31.216561,12.044967,0.425798,0,0,0,0,0,0,0
0,1999,149.73419,1175.563183,149.73419,140,50.427605,50.427605,38.138525,25,27.069672,27.069672,20.472861,18,32.578521,32.578521,24.639217,22,22.237576,22.237576,16.818335,25,17.420817,17.420817,21,78.514716,45,137,3629,63.048993,339.363418,0,0,0.768114,5.685194,0,0,1822.418392,0,180.537203,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,3.755164,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-1812.266802,-2453.436817,641.170015,641.169996,0,35.182372,-35.379449,43.865138,271.66343,143.636304,137.193255,43.315599,1.496291,315.528568,182.005144,168.572006,26.291311,43.181041,69.304039,29.517871,21.606723,4.813757,0.148574,358.860159,55.969579,0.684,163.820858,87.591681,80.828788,25.062298,0.872534,113.737831,17.739106,0,38.538594,26.526775,34.757759,13.439546,0.475158,0,0,0,0,0,0,0
